journal	records	default_records	with_abstract	year_min	year_max	rough_title_abstract_tokens
Advances in Life Course Research	638	638	212	2000	2026	92052
American Journal of Sociology	1103	1103	885	1896	2026	236609
American Sociological Review	1256	1256	1088	1936	2026	358964
Annual Review of Sociology	631	631	611	1975	2026	163373
Asian Population Studies	436	436	417	2005	2026	119894
British Journal of Sociology	1746	622	1245	1950	2026	628145
British Journal of Sociology of Education	1630	1630	1513	1980	2026	407780
Chinese Journal of Sociology	265	265	263	2015	2026	98467
Chinese Sociological Review	273	273	268	2011	2026	75914
Demographic Research	1862	1862	1822	1999	2026	511964
Demography	1923	1923	1902	1964	2026	597602
European Journal of Population	772	772	297	1985	2026	120060
European Sociological Review	1421	1421	1388	1986	2026	432471
Gender & Society	1072	1072	989	1987	2026	272412
Journal of Family Issues	2359	2359	2311	1980	2026	617802
Journal of Family Theory & Review	753	753	540	2009	2026	194991
Journal of Marriage and Family	2531	2531	2218	1965	2026	696692
Population Studies	3715	216	2059	1947	2026	572365
Population and Development Review	1124	1124	866	1976	2026	331322
Research in Social Stratification and Mobility	860	860	677	2001	2026	244702
Social Forces	2019	2019	1844	1926	2026	548337
Social Indicators Research	5938	1410	942	1974	2026	442570
Social Psychology Quarterly	1320	653	1175	1979	2026	283948
Social Science Research	2237	946	1111	1972	2026	375988
Sociological Science	403	403	390	2014	2026	110246
Sociology	1926	654	1744	1968	2026	462504
Sociology Compass	1798	653	1761	2007	2026	734393
Sociology of Education	638	638	535	1963	2026	161464
Socius	1032	1032	1032	2016	2026	289696
Work and Occupations	935	237	846	1982	2026	204800
Work, Employment and Society	1563	624	1437	1987	2026	379846
