tier	journal	period	records	default_records	with_abstract	rough_title_abstract_tokens
adjacent_recent	Advances in Life Course Research	2000_2009	134	134	1	3164
adjacent_recent	Advances in Life Course Research	2010_2019	264	264	88	34701
adjacent_recent	Advances in Life Course Research	2020_2026	240	240	123	54186
adjacent_recent	British Journal of Sociology	2010_2019	183	183	176	62187
adjacent_recent	British Journal of Sociology	2020_2026	421	421	419	155985
adjacent_recent	Population Studies	2020_2026	216	216	206	57578
adjacent_recent	Social Indicators Research	2020_2026	1410	1410	637	250152
adjacent_recent	Social Psychology Quarterly	2000_2009	276	276	244	64027
adjacent_recent	Social Psychology Quarterly	2010_2019	215	215	193	54074
adjacent_recent	Social Psychology Quarterly	2020_2026	162	162	158	48445
adjacent_recent	Social Science Research	2010_2019	398	398	383	120174
adjacent_recent	Social Science Research	2020_2026	528	528	525	169400
adjacent_recent	Sociology	2010_2019	179	179	175	47478
adjacent_recent	Sociology	2020_2026	474	474	472	128070
adjacent_recent	Sociology Compass	2020_2026	653	653	642	226991
adjacent_recent	Work and Occupations	2010_2019	66	66	48	14227
adjacent_recent	Work and Occupations	2020_2026	171	171	147	44978
adjacent_recent	Work, Employment and Society	2010_2019	185	185	180	46254
adjacent_recent	Work, Employment and Society	2020_2026	435	435	432	118254
archive_on_demand	British Journal of Sociology	2000_2009	630	0	324	190434
archive_on_demand	British Journal of Sociology	2010_2019	347	0	271	199833
archive_on_demand	British Journal of Sociology	pre_2000	57	0	36	11235
archive_on_demand	Population Studies	2000_2009	216	0	205	52159
archive_on_demand	Population Studies	2010_2019	296	0	278	66170
archive_on_demand	Population Studies	pre_2000	2987	0	1370	396458
archive_on_demand	Social Indicators Research	2000_2009	998	0	29	29058
archive_on_demand	Social Indicators Research	2010_2019	2608	0	274	147430
archive_on_demand	Social Indicators Research	pre_2000	922	0	2	15930
archive_on_demand	Social Psychology Quarterly	pre_2000	667	0	580	117402
archive_on_demand	Social Science Research	2000_2009	445	0	20	14931
archive_on_demand	Social Science Research	2010_2019	811	0	182	70089
archive_on_demand	Social Science Research	pre_2000	19	0	1	603
archive_on_demand	Sociology	2000_2009	577	0	497	131818
archive_on_demand	Sociology	2010_2019	576	0	522	133556
archive_on_demand	Sociology	pre_2000	37	0	36	9834
archive_on_demand	Sociology Compass	2000_2009	252	0	252	202533
archive_on_demand	Sociology Compass	2010_2019	893	0	867	304869
archive_on_demand	Work and Occupations	2000_2009	182	0	178	39000
archive_on_demand	Work and Occupations	2010_2019	159	0	124	27888
archive_on_demand	Work and Occupations	pre_2000	357	0	349	78706
archive_on_demand	Work, Employment and Society	2000_2009	438	0	364	100296
archive_on_demand	Work, Employment and Society	2010_2019	450	0	420	103912
archive_on_demand	Work, Employment and Society	pre_2000	14	0	13	3244
core_default	American Journal of Sociology	2000_2009	278	278	271	68178
core_default	American Journal of Sociology	2010_2019	341	341	340	90093
core_default	American Journal of Sociology	2020_2026	188	188	170	49358
core_default	American Journal of Sociology	pre_2000	121	121	104	26051
core_default	American Sociological Review	2000_2009	359	359	356	113626
core_default	American Sociological Review	2010_2019	413	413	411	136270
core_default	American Sociological Review	2020_2026	226	226	226	81337
core_default	American Sociological Review	pre_2000	112	112	82	21342
core_default	Asian Population Studies	2000_2009	89	89	83	24735
core_default	Asian Population Studies	2010_2019	206	206	198	54838
core_default	Asian Population Studies	2020_2026	137	137	136	40240
core_default	British Journal of Sociology of Education	2000_2009	461	461	431	121670
core_default	British Journal of Sociology of Education	2010_2019	623	623	599	149703
core_default	British Journal of Sociology of Education	2020_2026	468	468	467	130912
core_default	British Journal of Sociology of Education	pre_2000	16	16	16	4224
core_default	Chinese Journal of Sociology	2010_2019	114	114	113	41142
core_default	Chinese Journal of Sociology	2020_2026	142	142	142	54028
core_default	Chinese Sociological Review	2010_2019	130	130	129	33717
core_default	Chinese Sociological Review	2020_2026	139	139	139	42080
core_default	Demographic Research	2000_2009	432	432	427	41441
core_default	Demographic Research	2010_2019	895	895	892	252941
core_default	Demographic Research	2020_2026	502	502	502	216835
core_default	Demographic Research	pre_2000	1	1	1	70
core_default	Demography	2000_2009	420	420	419	108671
core_default	Demography	2010_2019	856	856	848	272256
core_default	Demography	2020_2026	532	532	532	190109
core_default	Demography	pre_2000	32	32	32	8623
core_default	European Journal of Population	2000_2009	227	227	18	9738
core_default	European Journal of Population	2010_2019	296	296	93	38220
core_default	European Journal of Population	2020_2026	205	205	183	70222
core_default	European Journal of Population	pre_2000	23	23	0	442
core_default	European Sociological Review	2000_2009	398	398	392	110042
core_default	European Sociological Review	2010_2019	580	580	574	177282
core_default	European Sociological Review	2020_2026	405	405	405	138906
core_default	European Sociological Review	pre_2000	10	10	10	3084
core_default	Gender & Society	2000_2009	391	391	360	88615
core_default	Gender & Society	2010_2019	366	366	331	96200
core_default	Gender & Society	2020_2026	208	208	200	65843
core_default	Gender & Society	pre_2000	43	43	41	8621
core_default	Journal of Family Issues	2000_2009	597	597	573	141265
core_default	Journal of Family Issues	2010_2019	915	915	900	240976
core_default	Journal of Family Issues	2020_2026	731	731	731	208188
core_default	Journal of Family Issues	pre_2000	25	25	24	5730
core_default	Journal of Family Theory & Review	2000_2009	29	29	12	5991
core_default	Journal of Family Theory & Review	2010_2019	414	414	242	64426
core_default	Journal of Family Theory & Review	2020_2026	289	289	266	118367
core_default	Journal of Marriage and Family	2000_2009	1022	1022	842	211066
core_default	Journal of Marriage and Family	2010_2019	834	834	790	229828
core_default	Journal of Marriage and Family	2020_2026	532	532	532	231036
core_default	Journal of Marriage and Family	pre_2000	59	59	49	20973
core_default	Population and Development Review	2000_2009	340	340	257	90323
core_default	Population and Development Review	2010_2019	332	332	285	130721
core_default	Population and Development Review	2020_2026	274	274	257	86341
core_default	Population and Development Review	pre_2000	56	56	48	15654
core_default	Research in Social Stratification and Mobility	2000_2009	166	166	2	3890
core_default	Research in Social Stratification and Mobility	2010_2019	318	318	316	112472
core_default	Research in Social Stratification and Mobility	2020_2026	364	364	359	127990
core_default	Social Forces	2000_2009	688	688	643	151972
core_default	Social Forces	2010_2019	652	652	645	195652
core_default	Social Forces	2020_2026	490	490	488	183563
core_default	Social Forces	pre_2000	64	64	56	10474
core_default	Sociological Science	2010_2019	194	194	193	48499
core_default	Sociological Science	2020_2026	199	199	197	61518
core_default	Sociology of Education	2000_2009	168	168	168	45768
core_default	Sociology of Education	2010_2019	183	183	171	55458
core_default	Sociology of Education	2020_2026	118	118	118	38393
core_default	Sociology of Education	pre_2000	79	79	72	18640
core_default	Socius	2010_2019	289	289	289	73177
core_default	Socius	2020_2026	726	726	726	210433
review_anchor	Annual Review of Sociology	2000_2009	115	115	114	30784
review_anchor	Annual Review of Sociology	2010_2019	255	255	255	66514
review_anchor	Annual Review of Sociology	2020_2026	108	108	108	29851
review_anchor	Annual Review of Sociology	pre_2000	56	56	54	14650
